segment,Activewear,Activewear,Activewear,Activewear,Activewear,Activewear,Activewear,Activewear,Balanced,Balanced,Balanced,Balanced,Balanced,Balanced,Balanced,Balanced,Everyday,Everyday,Everyday,Everyday,Everyday,Everyday,Everyday,Everyday
gender,Female,Female,Female,Female,Male,Male,Male,Male,Female,Female,Female,Female,Male,Male,Male,Male,Female,Female,Female,Female,Male,Male,Male,Male
size,L,M,S,XL,L,M,S,XL,L,M,S,XL,L,M,S,XL,L,M,S,XL,L,M,S,XL
Jan,867.0,769.0,539.0,620.0,839.0,745.0,535.0,606.0,263.0,157.0,183.0,386.0,264.0,137.0,189.0,351.0,254.0,349.0,361.0,357.0,243.0,357.0,363.0,345.0
Feb,859.0,730.0,555.0,681.0,770.0,712.0,567.0,611.0,310.0,195.0,206.0,476.0,315.0,166.0,212.0,447.0,346.0,529.0,500.0,467.0,307.0,477.0,481.0,430.0
Mar,1149.0,1021.0,743.0,884.0,1043.0,930.0,768.0,854.0,507.0,309.0,331.0,695.0,501.0,299.0,329.0,702.0,580.0,911.0,989.0,830.0,566.0,916.0,931.0,808.0
Apr,1245.0,1160.0,915.0,1070.0,1251.0,1095.0,883.0,1004.0,654.0,400.0,409.0,877.0,628.0,352.0,382.0,836.0,829.0,1310.0,1344.0,1148.0,787.0,1261.0,1264.0,1104.0
May,1133.0,1018.0,782.0,965.0,1134.0,1021.0,788.0,934.0,601.0,376.0,393.0,863.0,615.0,377.0,368.0,819.0,841.0,1405.0,1329.0,1142.0,789.0,1303.0,1296.0,1125.0
Jun,1129.0,993.0,755.0,896.0,1051.0,926.0,731.0,809.0,603.0,415.0,379.0,884.0,623.0,385.0,375.0,875.0,830.0,1348.0,1356.0,1171.0,817.0,1286.0,1328.0,1093.0
Jul,1032.0,901.0,616.0,764.0,988.0,860.0,585.0,706.0,595.0,355.0,371.0,752.0,591.0,352.0,358.0,750.0,737.0,1208.0,1166.0,1041.0,744.0,1147.0,1144.0,978.0
Aug,1214.0,1083.0,726.0,865.0,1142.0,1023.0,732.0,835.0,646.0,404.0,378.0,840.0,654.0,400.0,352.0,817.0,779.0,1068.0,1152.0,1029.0,751.0,1015.0,1131.0,991.0
Sep,990.0,910.0,614.0,696.0,921.0,814.0,595.0,675.0,498.0,326.0,306.0,615.0,481.0,283.0,287.0,621.0,530.0,798.0,796.0,647.0,526.0,776.0,803.0,654.0
Oct,920.0,816.0,591.0,653.0,845.0,792.0,582.0,655.0,397.0,238.0,260.0,535.0,370.0,237.0,242.0,502.0,411.0,618.0,571.0,531.0,397.0,579.0,537.0,471.0
Nov,1117.0,976.0,752.0,873.0,1036.0,930.0,718.0,822.0,312.0,185.0,190.0,432.0,285.0,185.0,194.0,408.0,294.0,411.0,409.0,367.0,265.0,404.0,411.0,355.0
Dec,2279.0,2039.0,1614.0,1847.0,2180.0,2001.0,1560.0,1744.0,272.0,198.0,185.0,397.0,279.0,173.0,192.0,390.0,267.0,379.0,396.0,354.0,247.0,384.0,363.0,388.0
